2352,1904,1951
2371,1886,1933
2361,1890,1936
2358,1910,1942
2354,1919,1966
2352,1886,1936
2354,1907,1936
2356,1907,1925
2366,1903,1939
2372,1897,1941
2354,1914,1926
2374,1905,1939
2384,1879,1936
2371,1900,1955
2363,1894,1936
2375,1909,1933
2352,1894,1929
2353,1907,1945
2363,1906,1957
2359,1903,1951
2362,1899,1945
2364,1897,1935
2368,1907,1923
2370,1903,1934
2351,1904,1956
2352,1908,1930
2374,1873,1946
2353,1913,1955
2358,1920,1925
2363,1904,1935
2353,1885,1958
2353,1899,1953
2383,1899,1933
2363,1904,1946
2352,1885,1933
2368,1908,1920
2354,1909,1951
2354,1904,1958
2369,1906,1942
2369,1905,1923
2366,1904,1941
2371,1904,1927
2365,1882,1949
2354,1904,1950
2355,1904,1936
2380,1885,1955
2385,1917,1931
2352,1904,1925
2372,1917,1943
2359,1887,1942
2357,1902,1959
2367,1904,1927
2367,1895,1933
2366,1901,1934
2374,1891,1950
2363,1903,1926
2374,1905,1920
2374,1895,1954
2366,1904,1950
2378,1904,1942
2371,1904,1963
2379,1888,1954
2363,1908,1957
2367,1914,1952
2369,1907,1934
2382,1917,1952
2366,1899,1939
2380,1904,1948
2382,1909,1936
2368,1914,1938
2366,1903,1946
2381,1905,1940
2370,1911,1945
2384,1926,1962
2362,1893,1923
2368,1896,1935
2378,1911,1951
2383,1904,1941
2366,1920,1951
2357,1900,1927
2369,1904,1957
2355,1906,1930
2373,1904,1955
2362,1918,1943
2387,1903,1953
2384,1904,1920
2367,1903,1925
2377,1894,1939
2374,1887,1954
2379,1889,1961
2369,1901,1952
2377,1889,1931
2359,1906,1948
2367,1905,1937
2358,1904,1942
2379,1914,1932
2384,1907,1943
2383,1909,1952
2371,1904,1943
2352,1914,1938
2374,1889,1953
2379,1889,1946
2369,1887,1950
2362,1906,1937
2370,1889,1939
2381,1886,1945
2353,1906,1963
2363,1881,1936
2370,1909,1942
2355,1887,1951
2353,1891,1939
2370,1898,1951
2354,1889,1936
2357,1902,1945
2362,1898,1946
2374,1899,1926
2353,1917,1933
2365,1903,1937
2373,1904,1931
2381,1891,1936
2346,1886,1937
2351,1899,1959
2368,1886,1948
2352,1917,1938
2359,1913,1958
2368,1904,1949
2352,1887,1942
2359,1897,1956
2375,1905,1930
2352,1904,1936
2358,1907,1935
2348,1906,1952
2374,1904,1952
2355,1906,1941
2354,1882,1936
2384,1887,1933
2373,1903,1927
2359,1904,1943
2353,1906,1953
2369,1910,1937
2353,1899,1926
2371,1893,1950
2353,1909,1941
2372,1896,1957
2448,1984,2057
2427,2002,2047
2447,1997,2044
2451,2019,2044
2455,2001,2058
2441,1996,2047
2442,2011,2053
2454,2001,2055
2441,2023,2060
2453,2015,2059
2448,1990,2038
2446,1989,2063
2447,2002,2064
2478,2039,2067
2468,2025,2072
2456,2032,2094
2470,2023,2079
2473,2034,2086
2474,2029,2075
2461,2011,2064
2454,2027,2085
2477,2019,2082
2447,2045,2060
2459,2034,2089
2448,2013,2067
2452,2045,2061
2459,2035,2062
2480,2038,2069
2451,2035,2064
2448,2031,2079
2467,2029,2064
2448,2039,2078
2458,2031,2090
2448,2021,2080
2464,2043,2062
2448,2035,2073
2477,2018,2067
2458,2043,2082
2474,2013,2064
2449,2017,2061
2467,2017,2059
2448,2007,2081
2448,2015,2064
2465,2011,2074
2471,2030,2090
2451,2025,2090
2466,2030,2068
2471,2028,2071
2480,2032,2079
2467,2027,2087
